Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),5,5,"{1: {'blue': '71.43%', 'green': '7.43%', 'red': '7.43%', 'white': '7.71%', 'yellow': '6.00%'}, 2: {'blue': '6.95%', 'green': '69.52%', 'red': '8.56%', 'white': '6.42%', 'yellow': '8.56%'}, 3: {'blue': '7.14%', 'green': '9.52%', 'red': '11.11%', 'white': '63.49%', 'yellow': '8.73%'}, 4: {'blue': '7.16%', 'green': '13.09%', 'red': '64.20%', 'white': '8.40%', 'yellow': '7.16%'}, 5: {'blue': '10.93%', 'green': '11.48%', 'red': '10.93%', 'white': '8.38%', 'yellow': '58.29%'}}",0.6328305154604547,1.0,1.0,65.42857142857143
1,kmeans,boc(euclidean),5,5,"{1: {'blue': '11.48%', 'green': '58.37%', 'red': '10.31%', 'white': '9.53%', 'yellow': '10.31%'}, 2: {'blue': '8.88%', 'green': '8.88%', 'red': '9.74%', 'white': '8.02%', 'yellow': '64.47%'}, 3: {'blue': '12.07%', 'green': '10.13%', 'red': '11.21%', 'white': '54.96%', 'yellow': '11.64%'}, 4: {'blue': '71.43%', 'green': '5.57%', 'red': '6.97%', 'white': '7.32%', 'yellow': '8.71%'}, 5: {'blue': '6.52%', 'green': '7.61%', 'red': '72.01%', 'white': '6.25%', 'yellow': '7.61%'}}",0.6426470902858127,1.0,1.0,65.85365853658537
2,kmeans,boc(euclidean),5,5,"{1: {'blue': '8.60%', 'green': '6.30%', 'red': '75.93%', 'white': '5.44%', 'yellow': '3.72%'}, 2: {'blue': '63.00%', 'green': '10.72%', 'red': '9.38%', 'white': '8.85%', 'yellow': '8.04%'}, 3: {'blue': '9.02%', 'green': '8.52%', 'red': '8.77%', 'white': '9.77%', 'yellow': '63.91%'}, 4: {'blue': '4.53%', 'green': '79.29%', 'red': '7.12%', 'white': '5.83%', 'yellow': '3.24%'}, 5: {'blue': '9.67%', 'green': '6.84%', 'red': '14.86%', 'white': '58.96%', 'yellow': '9.67%'}}",0.6851979783357248,1.0,1.0,76.05177993527508
3,kmeans,boc(euclidean),5,5,"{1: {'blue': '5.51%', 'green': '76.77%', 'red': '7.87%', 'white': '6.30%', 'yellow': '3.54%'}, 2: {'blue': '11.08%', 'green': '8.06%', 'red': '13.35%', 'white': '9.57%', 'yellow': '57.93%'}, 3: {'blue': '70.22%', 'green': '7.99%', 'red': '7.99%', 'white': '4.84%', 'yellow': '8.96%'}, 4: {'blue': '7.18%', 'green': '10.77%', 'red': '7.89%', 'white': '64.11%', 'yellow': '10.05%'}, 5: {'blue': '13.42%', 'green': '14.37%', 'red': '48.02%', 'white': '12.48%', 'yellow': '11.72%'}}",0.6233979196782752,0.9901724771895954,0.9877525647540683,73.2283464566929
4,kmeans,boc(euclidean),5,5,"{1: {'blue': '5.48%', 'green': '4.52%', 'red': '77.42%', 'white': '6.45%', 'yellow': '6.13%'}, 2: {'blue': '75.00%', 'green': '5.62%', 'red': '5.94%', 'white': '5.94%', 'yellow': '7.50%'}, 3: {'blue': '11.34%', 'green': '59.72%', 'red': '12.75%', 'white': '6.68%', 'yellow': '9.51%'}, 4: {'blue': '7.45%', 'green': '2.13%', 'red': '6.03%', 'white': '76.24%', 'yellow': '8.16%'}, 5: {'blue': '14.73%', 'green': '8.51%', 'red': '12.03%', 'white': '10.79%', 'yellow': '53.94%'}}",0.670810438420687,1.0,0.9999999999999999,74.11347517730498
5,kmeans,boc(euclidean),5,5,"{1: {'blue': '8.12%', 'green': '64.72%', 'red': '10.15%', 'white': '9.90%', 'yellow': '7.11%'}, 2: {'blue': '51.26%', 'green': '10.79%', 'red': '11.87%', 'white': '15.47%', 'yellow': '10.61%'}, 3: {'blue': '9.89%', 'green': '9.09%', 'red': '60.16%', 'white': '11.50%', 'yellow': '9.36%'}, 4: {'blue': '7.16%', 'green': '6.30%', 'red': '6.59%', 'white': '9.74%', 'yellow': '70.20%'}, 5: {'blue': '7.61%', 'green': '7.61%', 'red': '11.27%', 'white': '67.61%', 'yellow': '5.92%'}}",0.6267091971455011,1.0,1.0,63.89684813753583
6,kmeans,boc(euclidean),5,5,"{1: {'blue': '4.36%', 'green': '77.88%', 'red': '5.30%', 'white': '5.61%', 'yellow': '6.85%'}, 2: {'blue': '6.91%', 'green': '8.78%', 'red': '7.71%', 'white': '65.16%', 'yellow': '11.44%'}, 3: {'blue': '3.54%', 'green': '5.14%', 'red': '3.22%', 'white': '2.89%', 'yellow': '85.21%'}, 4: {'blue': '48.74%', 'green': '12.94%', 'red': '9.58%', 'white': '12.44%', 'yellow': '16.30%'}, 5: {'blue': '11.64%', 'green': '9.79%', 'red': '52.91%', 'white': '10.85%', 'yellow': '14.81%'}}",0.6615191303348094,1.0,1.0,82.31511254019293
7,kmeans,boc(euclidean),5,5,"{1: {'blue': '79.01%', 'green': '5.68%', 'red': '3.95%', 'white': '4.44%', 'yellow': '6.91%'}, 2: {'blue': '6.63%', 'green': '68.97%', 'red': '7.16%', 'white': '7.96%', 'yellow': '9.28%'}, 3: {'blue': '10.07%', 'green': '5.76%', 'red': '70.14%', 'white': '6.47%', 'yellow': '7.55%'}, 4: {'blue': '5.75%', 'green': '5.43%', 'red': '6.07%', 'white': '78.27%', 'yellow': '4.47%'}, 5: {'blue': '10.23%', 'green': '5.85%', 'red': '7.89%', 'white': '8.77%', 'yellow': '67.25%'}}",0.7161581837566223,1.0,1.0,75.06172839506172
8,kmeans,boc(euclidean),5,5,"{1: {'blue': '13.14%', 'green': '7.42%', 'red': '9.75%', 'white': '61.44%', 'yellow': '8.26%'}, 2: {'blue': '82.68%', 'green': '4.72%', 'red': '3.94%', 'white': '5.51%', 'yellow': '3.15%'}, 3: {'blue': '10.84%', 'green': '10.63%', 'red': '13.50%', 'white': '8.79%', 'yellow': '56.24%'}, 4: {'blue': '7.74%', 'green': '68.11%', 'red': '7.74%', 'white': '7.12%', 'yellow': '9.29%'}, 5: {'blue': '11.13%', 'green': '12.89%', 'red': '49.80%', 'white': '14.45%', 'yellow': '11.72%'}}",0.6177332247082463,1.0,1.0,79.52755905511812
9,kmeans,boc(euclidean),5,5,"{1: {'blue': '57.31%', 'green': '12.25%', 'red': '8.70%', 'white': '10.28%', 'yellow': '11.46%'}, 2: {'blue': '9.12%', 'green': '6.43%', 'red': '5.36%', 'white': '72.39%', 'yellow': '6.70%'}, 3: {'blue': '12.83%', 'green': '57.01%', 'red': '11.16%', 'white': '9.98%', 'yellow': '9.03%'}, 4: {'blue': '9.02%', 'green': '15.41%', 'red': '49.81%', 'white': '12.97%', 'yellow': '12.78%'}, 5: {'blue': '9.79%', 'green': '10.14%', 'red': '9.79%', 'white': '5.59%', 'yellow': '64.69%'}}",0.6342073397982668,1.0,1.0,67.02412868632709
