Feature,Importance
Preferred_Color_Count,0.98316896
Path_Complexity,0.010368659
Distinct_Nodes_Visited,0.006462352
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||s|q|u|a|r|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
